"fk_vtl_id","unixtime","coordinate","vel_mph"
-61,1202511221,"(-122.0966,37.6484)",54
-61,1202511423,"(-122.0966,37.6484)",56
-61,1202511458,"(-122.0967,37.6484)",77
-61,1202511570,"(-122.0966,37.6484)",55
-61,1202511669,"(-122.0966,37.6484)",51
-61,1202511677,"(-122.0967,37.6484)",57
-61,1202511740,"(-122.0966,37.6484)",54
-61,1202511753,"(-122.0966,37.6484)",51
-61,1202511847,"(-122.0966,37.6484)",61
-61,1202511963,"(-122.0966,37.6484)",58
-61,1202512129,"(-122.0966,37.6484)",56
-61,1202512257,"(-122.0966,37.6484)",57
-61,1202512381,"(-122.0966,37.6484)",48
-61,1202512450,"(-122.0966,37.6485)",64
-61,1202512577,"(-122.0966,37.6484)",48
-61,1202512667,"(-122.0965,37.6485)",46
-61,1202512756,"(-122.0965,37.6485)",48
-61,1202512912,"(-122.0966,37.6484)",44
-61,1202513089,"(-122.0966,37.6484)",39
-61,1202513097,"(-122.0966,37.6484)",38
-61,1202513131,"(-122.0966,37.6484)",46
-61,1202513310,"(-122.0966,37.6484)",33
-61,1202513532,"(-122.0966,37.6484)",32
-61,1202513550,"(-122.0966,37.6484)",31
-61,1202514173,"(-122.0966,37.6484)",35
-61,1202514324,"(-122.0966,37.6484)",30
-61,1202514359,"(-122.0966,37.6484)",32
-61,1202514387,"(-122.0966,37.6484)",40
-61,1202514472,"(-122.0966,37.6484)",34
-61,1202514492,"(-122.0966,37.6484)",32
-61,1202514595,"(-122.0966,37.6484)",28
-61,1202514596,"(-122.0966,37.6484)",24
-61,1202514794,"(-122.0966,37.6484)",29
-61,1202514799,"(-122.0966,37.6484)",30
-61,1202514870,"(-122.0966,37.6484)",29
-61,1202514997,"(-122.0966,37.6484)",36
-61,1202515026,"(-122.0966,37.6484)",32
-61,1202515097,"(-122.0966,37.6484)",37
-61,1202515101,"(-122.0966,37.6484)",33
-61,1202515124,"(-122.0966,37.6484)",29
-61,1202515242,"(-122.0966,37.6484)",29
-61,1202515297,"(-122.0966,37.6484)",30
-61,1202515364,"(-122.0966,37.6484)",26
-61,1202515552,"(-122.0966,37.6484)",33
-61,1202515671,"(-122.0966,37.6484)",32
-61,1202515759,"(-122.0966,37.6484)",25
-61,1202515767,"(-122.0966,37.6484)",41
-61,1202515823,"(-122.0966,37.6484)",27
-61,1202515971,"(-122.0966,37.6484)",35
-61,1202515977,"(-122.0966,37.6484)",34
-61,1202515982,"(-122.0966,37.6484)",32
-61,1202515984,"(-122.0966,37.6484)",35
-61,1202516180,"(-122.0966,37.6484)",38
-61,1202516210,"(-122.0966,37.6484)",37
-61,1202516274,"(-122.0966,37.6484)",42
-61,1202516307,"(-122.0966,37.6484)",39
-61,1202516314,"(-122.0966,37.6484)",37
-61,1202516475,"(-122.0966,37.6484)",32
-61,1202516607,"(-122.0966,37.6484)",30
-61,1202516681,"(-122.0966,37.6484)",25
-61,1202516770,"(-122.0966,37.6484)",29
-61,1202516812,"(-122.0966,37.6484)",29
-61,1202516913,"(-122.0966,37.6484)",33
-61,1202517026,"(-122.0966,37.6484)",36
-61,1202517142,"(-122.0966,37.6484)",35
-61,1202517361,"(-122.0966,37.6484)",26
-61,1202517472,"(-122.0966,37.6484)",30
-61,1202517482,"(-122.0966,37.6484)",31
-61,1202517602,"(-122.0966,37.6484)",31
-61,1202517666,"(-122.0966,37.6484)",36
-61,1202517757,"(-122.0966,37.6484)",35
-61,1202517778,"(-122.0966,37.6484)",35
-61,1202517867,"(-122.0966,37.6484)",41
-61,1202517968,"(-122.0966,37.6484)",29
-61,1202517968,"(-122.0966,37.6484)",27
-61,1202518013,"(-122.0966,37.6484)",29
-61,1202518054,"(-122.0966,37.6484)",32
-61,1202518092,"(-122.0966,37.6484)",26
-61,1202518183,"(-122.0966,37.6484)",27
-61,1202518256,"(-122.0966,37.6484)",34
-61,1202518279,"(-122.0966,37.6484)",33
-61,1202518330,"(-122.0966,37.6484)",34
-61,1202518399,"(-122.0966,37.6484)",33
-61,1202518529,"(-122.0966,37.6484)",39
-61,1202518594,"(-122.0966,37.6484)",41
-61,1202518674,"(-122.0966,37.6484)",26
-61,1202518879,"(-122.0966,37.6484)",32
-61,1202519012,"(-122.0966,37.6484)",45
-61,1202519048,"(-122.0966,37.6484)",47
-61,1202519057,"(-122.0966,37.6484)",41
-61,1202519228,"(-122.0966,37.6484)",32
-61,1202519303,"(-122.0966,37.6484)",29
-61,1202519332,"(-122.0966,37.6484)",36
-61,1202519407,"(-122.0966,37.6484)",28
-61,1202519490,"(-122.0966,37.6484)",28
-61,1202519570,"(-122.0966,37.6484)",29
-61,1202519716,"(-122.0966,37.6484)",29
-61,1202519786,"(-122.0966,37.6484)",22
-61,1202519991,"(-122.0966,37.6484)",32
-61,1202520004,"(-122.0966,37.6484)",30
-61,1202520020,"(-122.0966,37.6484)",31
-61,1202520476,"(-122.0966,37.6484)",32
-61,1202520706,"(-122.0966,37.6484)",25
-61,1202520830,"(-122.0966,37.6484)",24
-61,1202520920,"(-122.0966,37.6484)",26
-61,1202521173,"(-122.0966,37.6484)",29
-61,1202521244,"(-122.0966,37.6484)",29
-61,1202521350,"(-122.0966,37.6484)",31
-61,1202521378,"(-122.0966,37.6484)",26
-61,1202521409,"(-122.0966,37.6484)",32
-61,1202521450,"(-122.0966,37.6484)",38
-61,1202521498,"(-122.0966,37.6484)",30
