"fk_pems_id","unixtime","flows","occs"
400006,1202498700,"{6,14,7,4}","{0.0322,0.1061,0.1294,0.0667}"
400006,1202498730,"{21,11,10,14}","{0.1161,0.0861,0.125,0.1233}"
400006,1202498760,"{12,13,8,13}","{0.0639,0.0911,0.0733,0.1011}"
400006,1202498790,"{15,10,15,6}","{0.09,0.0622,0.1167,0.0533}"
400006,1202498820,"{15,7,8,8}","{0.0783,0.0478,0.0689,0.0839}"
400006,1202498850,"{20,15,9,11}","{0.1083,0.1022,0.0956,0.1117}"
400006,1202498880,"{18,15,15,12}","{0.1033,0.105,0.1372,0.0994}"
400006,1202498910,"{16,16,8,6}","{0.0911,0.1167,0.1067,0.0622}"
400006,1202498940,"{14,14,11,11}","{0.0833,0.0928,0.1283,0.1267}"
400006,1202498970,"{15,17,12,13}","{0.0778,0.1167,0.1317,0.1278}"
400006,1202499000,"{5,14,5,8}","{0.0278,0.0939,0.0522,0.0583}"
400006,1202499030,"{18,17,12,7}","{0.1183,0.1083,0.1078,0.085}"
400006,1202499060,"{15,15,6,13}","{0.0839,0.1056,0.0411,0.1539}"
400006,1202499090,"{10,12,9,8}","{0.0533,0.0817,0.1,0.0889}"
400006,1202499120,"{7,12,7,11}","{0.0378,0.0778,0.0578,0.1478}"
400006,1202499150,"{15,19,13,9}","{0.0828,0.14,0.1111,0.0733}"
400006,1202499180,"{16,14,8,12}","{0.0944,0.0978,0.1011,0.1606}"
400006,1202499210,"{13,10,10,6}","{0.0733,0.0733,0.0867,0.0739}"
400006,1202499240,"{8,14,11,5}","{0.0417,0.0972,0.0717,0.0689}"
400006,1202499270,"{15,14,4,5}","{0.09,0.1,0.0289,0.0428}"
400006,1202499300,"{12,10,9,10}","{0.065,0.0761,0.1222,0.0994}"
400006,1202499330,"{13,11,6,8}","{0.075,0.0722,0.0433,0.0667}"
400006,1202499360,"{12,11,8,11}","{0.0639,0.0811,0.0672,0.1161}"
400006,1202499390,"{13,14,9,9}","{0.0706,0.09,0.0594,0.0878}"
400006,1202499420,"{13,14,9,9}","{0.0706,0.09,0.0594,0.0878}"
400006,1202499450,"{21,15,11,12}","{0.1144,0.1067,0.0772,0.1239}"
400006,1202499480,"{9,12,11,9}","{0.0494,0.0833,0.0844,0.0961}"
400006,1202499510,"{19,15,10,8}","{0.11,0.1067,0.0706,0.0922}"
400006,1202499540,"{21,13,8,5}","{0.1178,0.0844,0.0544,0.0444}"
400006,1202499570,"{16,14,11,8}","{0.0878,0.1044,0.0956,0.0989}"
400006,1202499600,"{14,12,9,7}","{0.0761,0.0789,0.0778,0.0544}"
400006,1202499630,"{15,12,9,7}","{0.0817,0.0761,0.0772,0.0806}"
400006,1202499660,"{10,14,7,13}","{0.0511,0.0911,0.08,0.1178}"
400006,1202499690,"{15,13,10,9}","{0.0778,0.0811,0.085,0.075}"
400006,1202499720,"{12,10,8,9}","{0.0633,0.0639,0.0633,0.0739}"
400006,1202499750,"{17,10,8,9}","{0.0978,0.0661,0.0544,0.1072}"
400006,1202499780,"{15,15,11,10}","{0.0789,0.1044,0.1017,0.0783}"
400006,1202499810,"{14,13,10,5}","{0.0772,0.0839,0.1,0.0656}"
400006,1202499840,"{14,13,14,8}","{0.08,0.0878,0.1117,0.1133}"
400006,1202499870,"{14,13,7,11}","{0.0767,0.0872,0.0806,0.095}"
400006,1202499900,"{17,12,13,7}","{0.0939,0.0783,0.0806,0.0856}"
400006,1202499930,"{18,19,9,9}","{0.1028,0.1361,0.0783,0.0767}"
400006,1202499960,"{11,18,11,6}","{0.0622,0.1089,0.1017,0.0656}"
400006,1202499990,"{17,12,9,9}","{0.0978,0.095,0.09,0.0672}"
400006,1202500020,"{10,9,6,8}","{0.0506,0.085,0.0694,0.1161}"
400006,1202500050,"{8,10,13,11}","{0.0406,0.0633,0.0967,0.0972}"
400006,1202500080,"{8,10,13,11}","{0.0406,0.0633,0.0967,0.0972}"
400006,1202500110,"{9,9,7,11}","{0.0511,0.0556,0.0528,0.1628}"
400006,1202500140,"{9,13,9,6}","{0.0467,0.0967,0.0817,0.065}"
400006,1202500170,"{20,18,8,11}","{0.1156,0.1206,0.0722,0.1072}"
400006,1202500200,"{14,13,7,12}","{0.0794,0.0844,0.1372,0.1306}"
400006,1202500230,"{19,14,11,14}","{0.1017,0.0928,0.1456,0.1367}"
400006,1202500260,"{18,9,13,9}","{0.0989,0.0722,0.1033,0.0761}"
400006,1202500290,"{17,15,12,8}","{0.0906,0.0944,0.1267,0.095}"
400006,1202500320,"{13,16,11,7}","{0.0711,0.1028,0.12,0.0656}"
400006,1202500350,"{14,15,10,10}","{0.0806,0.1017,0.1061,0.0894}"
400006,1202500380,"{14,15,10,10}","{0.0806,0.1017,0.1061,0.0894}"
400006,1202500410,"{16,10,5,7}","{0.0772,0.0672,0.0389,0.0944}"
400006,1202500440,"{17,17,11,9}","{0.0939,0.1017,0.0961,0.0711}"
400006,1202500470,"{7,14,10,12}","{0.0389,0.0917,0.07,0.1017}"
